date,value
01-01-2014,18.31
02-01-2014,18.06
03-01-2014,18.31
07-01-2014,16.58
08-01-2014,16.33
09-01-2014,16.83
10-01-2014,16.83
13-01-2014,16.08
15-01-2014,15.75
16-01-2014,15.5
17-01-2014,14.34
20-01-2014,13
21-01-2014,12.75
22-01-2014,12.75
23-01-2014,15
24-01-2014,12.75
27-01-2014,12.5
28-01-2014,12.38
30-01-2014,12.38
31-01-2014,12.25
03-02-2014,12
04-02-2014,11.75
05-02-2014,11.75
06-02-2014,11.98
07-02-2014,11.98
10-02-2014,11.98
11-02-2014,11.48
12-02-2014,10.86
13-02-2014,10.98
14-02-2014,10.98
17-02-2014,11.11
18-02-2014,15.2
20-02-2014,10.73
21-02-2014,10.73
24-02-2014,11.1
25-02-2014,11.1
26-02-2014,11.35
28-02-2014,11.35
03-03-2014,11
04-03-2014,11
05-03-2014,10.88
06-03-2014,10.41
07-03-2014,10.41
11-03-2014,10.69
12-03-2014,11.06
13-03-2014,10.81
14-03-2014,10.81
18-03-2014,11.44
19-03-2014,11.19
20-03-2014,11.06
21-03-2014,10.94
24-03-2014,11.06
25-03-2014,10.94
26-03-2014,11.27
27-03-2014,10.89
28-03-2014,11.02
01-04-2014,10
02-04-2014,11.36
03-04-2014,11.36
04-04-2014,11.03
07-04-2014,11.03
09-04-2014,12.07
11-04-2014,9.63
15-04-2014,9.56
17-04-2014,9.97
21-04-2014,9.89
22-04-2014,9.89
23-04-2014,10.1
25-04-2014,9.5
28-04-2014,10.5
29-04-2014,10.43
30-04-2014,10.3
02-05-2014,10.25
05-05-2014,10
06-05-2014,10.75
07-05-2014,10.25
09-05-2014,10.35
12-05-2014,10
13-05-2014,10.1
15-05-2014,10.35
16-05-2014,10.35
19-05-2014,11.35
20-05-2014,11.35
21-05-2014,11.6
22-05-2014,11.1
23-05-2014,11.1
26-05-2014,11.1
27-05-2014,11.35
28-05-2014,11.1
29-05-2014,11.09
30-05-2014,11.09
02-06-2014,11.23
03-06-2014,12.23
04-06-2014,12.5
05-06-2014,11.5
06-06-2014,12.25
09-06-2014,12.5
10-06-2014,12.5
11-06-2014,13.25
12-06-2014,14.25
13-06-2014,14
16-06-2014,14.1
17-06-2014,14.69
18-06-2014,14.69
19-06-2014,14.69
20-06-2014,14.89
23-06-2014,15.14
24-06-2014,14.81
25-06-2014,15.31
26-06-2014,15.51
27-06-2014,16.01
01-07-2014,17.34
02-07-2014,17.09
03-07-2014,16.92
04-07-2014,16.92
07-07-2014,16.17
08-07-2014,17.17
09-07-2014,18.25
10-07-2014,18.25
11-07-2014,17.25
14-07-2014,17.43
15-07-2014,17.68
16-07-2014,17.68
17-07-2014,17.93
18-07-2014,18.18
21-07-2014,18.06
22-07-2014,17.68
23-07-2014,17.75
24-07-2014,17.64
25-07-2014,17.4
28-07-2014,17.15
30-07-2014,17.48
31-07-2014,17.73
01-08-2014,17.23
04-08-2014,15.98
05-08-2014,15.98
06-08-2014,16.98
07-08-2014,17.24
08-08-2014,17.24
11-08-2014,15.98
12-08-2014,13.98
13-08-2014,15.73
14-08-2014,16.74
19-08-2014,16.99
20-08-2014,16.61
21-08-2014,16.36
22-08-2014,16.11
25-08-2014,16.36
26-08-2014,19
27-08-2014,16.61
28-08-2014,16.61
01-09-2014,19.5
02-09-2014,16.45
03-09-2014,15.7
04-09-2014,14.95
05-09-2014,15.2
09-09-2014,17
10-09-2014,15.45
11-09-2014,15.38
12-09-2014,15.38
15-09-2014,15.13
16-09-2014,14.88
17-09-2014,15.8
18-09-2014,15.8
19-09-2014,14.55
22-09-2014,14.55
23-09-2014,13.8
24-09-2014,13.8
25-09-2014,13.3
26-09-2014,13.3
29-09-2014,13.3
30-09-2014,12.55
07-10-2014,13.05
08-10-2014,13.8
09-10-2014,13.3
10-10-2014,13.8
13-10-2014,13.55
14-10-2014,13.55
16-10-2014,14.55
17-10-2014,14.55
20-10-2014,14.8
21-10-2014,15.3
22-10-2014,15.3
27-10-2014,15.3
28-10-2014,15.55
29-10-2014,15.8
31-10-2014,16.3
03-11-2014,16.55
05-11-2014,15.8
07-11-2014,15.8
10-11-2014,16.08
11-11-2014,15.57
12-11-2014,15.57
13-11-2014,15.32
14-11-2014,15.32
17-11-2014,15.32
18-11-2014,17.33
19-11-2014,16.83
20-11-2014,15.82
21-11-2014,15.57
24-11-2014,15.57
25-11-2014,16.33
26-11-2014,16.83
27-11-2014,17.33
28-11-2014,17.08
01-12-2014,17.08
02-12-2014,16.33
03-12-2014,16.83
04-12-2014,16.58
05-12-2014,16.58
08-12-2014,16.58
09-12-2014,15.82
10-12-2014,16.58
11-12-2014,16.33
12-12-2014,16.33
15-12-2014,15.84
16-12-2014,15.34
17-12-2014,15.84
18-12-2014,15.84
19-12-2014,21
22-12-2014,17.33
23-12-2014,17.08
24-12-2014,16.33
26-12-2014,16.58
29-12-2014,16.5
30-12-2014,14.84
31-12-2014,14.59
01-01-2015,14.34
02-01-2015,15.34
05-01-2015,15.34
06-01-2015,14.59
07-01-2015,14.59
08-01-2015,14.59
09-01-2015,14.34
12-01-2015,15
13-01-2015,14.34
14-01-2015,14.84
15-01-2015,14.84
16-01-2015,13.84
19-01-2015,14.09
20-01-2015,13.48
21-01-2015,13.48
22-01-2015,13.73
23-01-2015,14.19
27-01-2015,14.09
28-01-2015,13.5
30-01-2015,13.97
02-02-2015,14.22
03-02-2015,13.97
04-02-2015,14.5
05-02-2015,15
06-02-2015,14.47
09-02-2015,14.72
10-02-2015,14.47
11-02-2015,14.73
12-02-2015,14.73
13-02-2015,14.73
16-02-2015,14.73
18-02-2015,15.48
20-02-2015,14.73
23-02-2015,15.48
24-02-2015,14.48
25-02-2015,14.48
26-02-2015,14.98
27-02-2015,14.98
02-03-2015,14.98
03-03-2015,14.48
04-03-2015,14.48
05-03-2015,14.48
09-03-2015,15.48
10-03-2015,15.48
11-03-2015,15.48
12-03-2015,15.48
13-03-2015,15.48
16-03-2015,15.48
17-03-2015,14.98
18-03-2015,14.84
19-03-2015,14.34
20-03-2015,14.34
23-03-2015,14.34
24-03-2015,14.34
25-03-2015,13.59
26-03-2015,13.84
27-03-2015,13.74
30-03-2015,13.99
31-03-2015,13.99
01-04-2015,14.49
06-04-2015,14.99
07-04-2015,13.99
08-04-2015,14.99
09-04-2015,14.49
10-04-2015,14.41
13-04-2015,14.41
15-04-2015,14.41
16-04-2015,14.23
17-04-2015,14.23
20-04-2015,14.73
21-04-2015,14.73
22-04-2015,14.23
23-04-2015,14.23
24-04-2015,14.73
27-04-2015,14.73
28-04-2015,14.23
29-04-2015,14.73
30-04-2015,14.84
05-05-2015,14.84
06-05-2015,14.84
07-05-2015,15.59
08-05-2015,15.59
11-05-2015,15.59
12-05-2015,15.84
13-05-2015,15.84
14-05-2015,15.84
15-05-2015,14.34
18-05-2015,15.59
19-05-2015,15.59
20-05-2015,15.34
21-05-2015,14.84
22-05-2015,15.09
25-05-2015,15.09
26-05-2015,15.34
27-05-2015,15.34
28-05-2015,15.02
29-05-2015,15.77
01-06-2015,15.52
02-06-2015,16.26
03-06-2015,16.26
04-06-2015,16.51
05-06-2015,17.02
08-06-2015,17.27
09-06-2015,14.55
11-06-2015,18.77
12-06-2015,18.77
15-06-2015,18.02
17-06-2015,18.27
18-06-2015,18.27
22-06-2015,18.27
23-06-2015,17.02
24-06-2015,17.52
25-06-2015,17.52
26-06-2015,18.27
29-06-2015,18.27
30-06-2015,17.52
01-07-2015,17.52
02-07-2015,17.02
03-07-2015,17.02
06-07-2015,16.52
07-07-2015,16.52
08-07-2015,16.77
09-07-2015,17.27
10-07-2015,17.27
13-07-2015,17.27
